spec;hosttype;plantfamily;hostplants
Pararge aegeria;O;Poaceae, Cyperaceae;Agrostis stolonifera, Arrhenatherum elatius, Brachypodium pinnatum, B. sylvaticum, Calamagrostis arundinacea, C. epigejos, Carex sylvatica, Cynodon dactylon, Dactylis glomerata, Deschampsia cespitosa, Elymus repens, Festuca gigantea, Holcus lanatus, Molinia arundinacea, Poa pratensis
Phengaris arion;O;Lamiaceae;Origanum vulgare, Thymus praecox, T. pulegioides
Pieris brassicae;O;Brassicaceae;Alliaria petiolata, Brassica napus, B. oleracea
Pieris bryoniae;O;Brassicaceae;Alliaria petiolata, Arabis alpina, Biscutella laevigata, Cardamine pratensis
Pieris rapae;O;Brassicaceae;Brassica napus, B. oleracea, B. rapa, Sinapis arvensis
Polyommatus coridon;O;Fabaceae;Astragalus glycyphyllos, Coronilla varia, Hippocrepis comosa, Medicago x varia, Securigera varia, Trifolium repens
Polyommatus icarus;O;Fabaceae;Coronilla varia, Hippocrepis comosa, Lotus corniculatus, Medicago lupulina, Ononis spinosa, Securigera varia, Trifolium arvense, T. pratense, T. repens
Pyrgus alveus;O;Rosaceae, Cistaceae;Helianthemum alpestre, H. nummularium, Potentilla anserina, P. argentea, P. aurea, P. brauneana, P. crantzii, P. erecta, P. heptaphylla, P. hirta, P. palustris, P. pusilla, P. reptans, P. recta, P. sterilis, P. tabernaemontani, P. grandiflora
Pyrgus andromedae;O;Rosaceae;Dryas octopetala, Potentilla erecta
Pyrgus malvae;O;Rosaceae;Agrimonia eupatoria, Filipendula ulmaria, Fragaria vesca, Potentilla anserina, P. argentea, P. aurea, P. brauneana, P. crantzii, P. erecta, P. heptaphylla, P. hirta, P. palustris, P. pusilla, P. reptans, P. recta, P. sterilis, P. tabernaemontani, P. grandiflora, Rubus fruticosus, R. idaeus
Pyrgus serratulae;O;Rosaceae;Alchemilla spp., Fragaria vesca, Potentilla crantzii, P. erecta, P. heptaphylla, P. hirta, P. pusilla, P. reptans, P. tabernaemontani, P. grandiflora
Thymelicus lineola;O;Poaceae;Arrhenatherum elatius, Brachypodium pinnatum, Bromus erectus, Calamagrostis epigejos, Dactylis glomerata, Elymus repens, Festuca ovina, Holcus mollis, Lolium perenne, Phleum pratense, Poa pratensis
Thymelicus sylvestris;O;Poaceae;Alopecurus pratensis, Cynosurus cristatus, Dactylis glomerata, Elymus repens, Holcus lanatus, H. mollis, Phleum pratense
Vanessa atalanta;O;Urticaceae;Parietaria officinalis, Urtica dioica, U. urens
Leptidea sinapis;O;Fabaceae;Coronilla varia, Lathyrus linifolius, L. pratensis, Lotus corniculatus, Trifolium arvense, Vicia angustifolia, V. cracca
Aricia agestis;P;Geraniaceae, Cistaceae;Erodium acaule, E. ciconium, E. cicutarium, Geranium palustre, G. pratense, G. robertianum, G. sanguineum, G. sylvaticum, Helianthemum alpestre, H. nummularium
Aricia artaxerxes;P;Cistaceae, Geraniaceae;Erodium cicutarium, Geranium sylvaticum, Helianthemum alpestre, H. nummularium
Boloria pales;P;Violaceae, Plantaginaceae;Plantago alpina, Viola alba, V. biflora, V. calcarata, V. canina, V. collina, V. hirta, V. odorata, V. palustris, V. reichenbachiana, V. riviniana, V. tricolor
Callophrys rubi;P;Fabaceae, Cistaceae, Cornaceae, Rosaceae;Cornus sanguinea, Cytisus scoparius, Genista sagittalis, G. tinctoria, Helianthemum alpestre, H. nummularium, Lotus corniculatus, Medicago x varia, Rubus fruticosus, Vaccinium myrtillus, V. uliginosum, V. vitis-idaea, Viburnum lantana
Celastrina argiolus;P;many;Astragalus glycyphyllos, Calluna vulgaris, Cornus sanguinea, Erica carnea, Filipendula ulmaria, Frangula alnus, Hedera helix, Ligustrum vulgare, Lythrum salicaria, Medicago sativa, Melilotus albus, Rhamnus cathartica, Rubus fruticosus, R. idaeus, R. saxatilis
Erebia aethiops;P;Poaceae, Cyperaceae, Juncaceae;Anthoxanthum odoratum, Brachypodium pinnatum, Briza media, Bromus erectus, Calamagrostis epigejos, Carex sempervirens, Dactylis glomerata, Festuca ovina, Luzula nivea, Molinia arundinacea, M. caerulea, Poa trivialis
Erebia epiphron;P;Poaceae, Cyperaceae;Carex pilulifera, Festuca alpina, F. arundinacea, F. gigantea, F. nigrescens, F. norica, F. ovina, F. pratensis, F. quadriflora, F. rubra, F. rupicaprina, Nardus stricta, Poa alpina, P. angustifolia, P. annua, P. bulbosa, P. hybrida, P. minor, P. nemoralis, P. pratensis, P. trivialis
Erebia euryale;P;Poaceae, Cyperaceae;Brachypodium pinnatum, Acinos alpinus, Calamagrostis epigejos, C. varia, C. villosa, Carex alba, C. atrata, C. capillaris, C. caryophyllea, C. davalliana, C. digitata, C. echinata, C. ericetorum, C. ferruginea, C. firma, C. flacca, C. flava, C. fusca, C. hostiana, C. lepidocarpa, C. montana, C. mucronata, C. muricata, C. ornithopoda, C. ovalis, C. pallescens, C. panicea, C. pilulifera, C. sempervirens, C. sylvatica, Festuca alpina, F. arundinacea, F. gigantea, F. nigrescens, F. norica, F. ovina, F. pratensis, F. quadriflora, F. rubra, F. rupicaprina, Molinia arundinacea, M. caerulea, Poa nemoralis, Sesleria albicans, S. caerulea, S. varia
Erebia ligea;P;Poaceae, Cyperaceae;Bromus erectus, Acinos alpinus, Calamagrostis arundinacea, C. epigejos, C. varia, C. villosa, Carex sylvatica, Danthonia decumbens, Festuca rubra
Erebia manto;P;Poaceae, Cyperaceae;Anthoxanthum odoratum, Carex alba, C. atrata, C. capillaris, C. caryophyllea, C. davalliana, C. digitata, C. echinata, C. ericetorum, C. ferruginea, C. firma, C. flacca, C. flava, C. fusca, C. hostiana, C. lepidocarpa, C. montana, C. mucronata, C. muricata, C. ornithopoda, C. ovalis, C. pallescens, C. panicea, C. pilulifera, C. sempervirens, C. sylvatica, Festuca ovina, F. rubra
Euphydryas cynthia;P;Plantaginaceae, Violaceae;Globularia cordifolia, Plantago alpina, P. lanceolata, Viola calcarata
Melitaea athalia;P;many;Digitalis purpurea, Melampyrum arvense, M. pratense, M. sylvaticum, Plantago atrata, P. lanceolata, P. media, Rhinanthus alectorolophus, Veronica arvensis, V. chamaedrys, V. teucrium
Nymphalis antiopa;P;Salicaceae, Betulaceae;Betula pendula, Populus nigra, Salix alba, S. caprea, S. eleagnos, S. purpurea, Ulmus minor
Papilio machaon;P;Apiaceae, Rutaceae;Aegopodium podagraria, Angelica archangelica, Carum carvi, Daucus carota, Meum athamanticum, Pheoniculum vulgare, Pimpinella saxifraga, Ruta graveolens
Polygonia c-album;P;many;Corylus avellana, Humulus lupulus, Rubus idaeus, Salix caprea, Ulmus glabra, U. minor, Urtica dioica
Vanessa cardui;P;many;Borago officinalis, Carduus defloratus, Carlina acanthifolia, Cirsium arvense, C. vulgare, Cynara scolymus, Echium vulgare, Malva sylvestris, Urtica dioica
