"","abbr","melev","no.sb","year"
"478","bisc_laev",1583.56962025316,79,"2019"
"480","brac_pinn",720.153846153846,13,"2019"
"481","brac_sylv",842.7,10,"2019"
"482","briz_medi",1243.47899159664,119,"2019"
"484","cala_alpi",1405.62295081967,61,"2019"
"485","cala_vari",1234.48979591837,49,"2019"
"494","card_defl",1480.75,64,"2019"
"500","care_cary",978.089285714286,56,"2019"
"502","care_digi",1305.42857142857,14,"2019"
"504","care_ferr",1610.30303030303,99,"2019"
"505","care_firm",1518.84285714286,70,"2019"
"506","care_flac",1079.10909090909,110,"2019"
"507","care_flav",1139,30,"2019"
"508","care_fusc",1271.25,16,"2019"
"511","care_mont",678.416666666667,12,"2019"
"512","care_mucr",1034.2380952381,21,"2019"
"514","care_orni",1345.9243697479,119,"2019"
"515","care_oval",1186.8,15,"2019"
"516","care_pall",1147.29166666667,48,"2019"
"517","care_pani",1147,64,"2019"
"518","care_semp",1595.89380530973,113,"2019"
"519","care_sylv",1003.71212121212,66,"2019"
"522","caru_carv",1124.05555555556,18,"2019"
"546","cyno_cris",1067.95714285714,70,"2019"
"548","dact_glom",1061.671875,128,"2019"
"554","desc_cesp",1485.80434782609,46,"2019"
"556","drya_octo",1594.69491525424,59,"2019"
"563","eric_carn",1174.94285714286,35,"2019"
"571","fest_nigr",1238.96551724138,29,"2019"
"572","fest_nori",1911,14,"2019"
"573","fest_prat",1002.39361702128,94,"2019"
"574","fest_quad",1930.70731707317,41,"2019"
"575","fest_rubr",1079.52205882353,136,"2019"
"577","frag_vesc",1080.65853658537,41,"2019"
"594","gera_sylv",1543.59375,32,"2019"
"598","glob_cord",1032.19047619048,21,"2019"
"607","heli_alpe",1871,13,"2019"
"608","heli_numm",1598.7972972973,74,"2019"
"621","hipp_como",1202.95238095238,42,"2019"
"622","holc_lana",774.260869565217,23,"2019"
"640","lath_prat",734.428571428571,21,"2019"
"651","lotu_corn",1322.08383233533,167,"2019"
"677","nard_stri",1411.72727272727,22,"2019"
"679","orig_vulg",937.096774193548,31,"2019"
"689","phle_prat",1065.76470588235,17,"2019"
"700","plan_lanc",1047.56115107914,139,"2019"
"702","plan_medi",1137.80357142857,56,"2019"
"704","poa_alpi",1545.48214285714,56,"2019"
"706","poa_annu",1104.27777777778,18,"2019"
"709","poa_prat",1038.625,48,"2019"
"710","poa_triv",984.837837837838,37,"2019"
"721","pote_aure",1658.68965517241,58,"2019"
"723","pote_erec",1262.18493150685,146,"2019"
"726","prim_elat",1005.28,25,"2019"
"749","rume_acet",918.825,40,"2019"
"773","sesl_albi",1427.90361445783,166,"2019"
"796","thym_prae",1325.2875,80,"2019"
"797","thym_pule",890.647058823529,17,"2019"
"803","trif_prat",1160.73076923077,156,"2019"
"804","trif_repe",1010.04411764706,68,"2019"
"809","vacc_myrt",1589.33962264151,53,"2019"
"811","vacc_viti",1878,13,"2019"
"814","vale_saxa",1217.34285714286,35,"2019"
"820","vero_cham",1110.376,125,"2019"
"825","vici_crac",732.2,10,"2019"
"828","viol_bifl",1663.16279069767,86,"2019"
